"","logFC","logCPM","PValue","FDR"
"YGR189C",0.707519773446006,9.73202261232522,3.41751740440766e-113,1.98249514528237e-111
"YIL121W",-2.57351573375549,6.31300956015847,3.70629982623136e-113,2.12914330794281e-111
"YHL021C",-1.38016581295601,7.87011545186895,9.72578687288028e-112,5.53341162758006e-110
"YGR161C",1.04067869974731,8.66389233884288,2.97707506954913e-110,1.67765268443069e-108
"YLR300W",-0.893376902138396,8.91875780424913,3.6810997712026e-109,2.05481767417036e-107
"YBL002W",1.212479646001,8.21969642854999,5.00229647999906e-108,2.76622320300509e-106
"YDL182W",-1.31662190459137,8.12904700812043,1.85047002006145e-105,1.01381769525033e-103
"YJR148W",-1.27484130624595,7.70882593364508,6.7952066241587e-103,3.68873739405019e-101
"YJR145C",-0.368354651668743,11.3258488565575,4.89948816751732e-101,2.63547922610909e-99
"YMR122W-A",-0.671326074733842,9.86125408582084,1.59079298863153e-97,8.47992983219166e-96
"YDR406W",-1.52328446352082,7.19430537391218,1.69661563197785e-96,8.96328097715442e-95
"YJL012C",-1.2579879854407,8.01418173211294,2.29466176067066e-95,1.20154987945914e-93
"YPR124W",-0.970653934090057,8.31331077111603,2.31133097648152e-94,1.19966187612641e-92
"YKL062W",-1.71272856206191,6.88858048946268,6.87136286601373e-94,3.53546557201767e-92
"YHL047C",-1.52574491065627,7.47247467212837,1.2288102215255e-93,6.26799144893651e-92
"YCR021C",-2.22750033423968,6.07812959404452,1.45944428193849e-93,7.38079642412826e-92
"YHR162W",0.994069525435806,8.48832507373772,3.09319867396916e-93,1.55105564015894e-91
"YNL030W",0.620475985566011,9.76916311709134,8.46262486131146e-93,4.20784464742688e-91
"YKL060C",-0.152593930768954,14.0249298309612,1.97431603334364e-92,9.73502330774526e-91
"YOR273C",-1.31935769366571,7.52647766124991,5.81141724009682e-92,2.841831058649e-90
"YER072W",-1.13553687773043,8.07626627475741,4.7981921292955e-91,2.32712318270832e-89
"YDL184C",0.885430241314784,9.12063129702092,1.3548674345875e-90,6.51768342313351e-89
